partition_dt;okrug_mt;province_mt;locality_mt;count;latitude_mt_avg;longitude_mt_avg;locality;latitude;longitude
2021-03-01;Центральный федеральный округ;Москва;Москва;268539;55.7487953535488900000000;37.5994368421822200000000;Москва;55.755814;37.617635
2021-03-01;Северо-Западный федеральный округ;Санкт-Петербург;Санкт-Петербург;125979;59.9323227359590400000000;30.3322752407807200000000;Санкт-Петербург;59.939095;30.315868
2021-03-01;Уральский федеральный округ;Свердловская область;Екатеринбург;47039;56.9294327236363600000000;60.5081262312636400000000;Екатеринбург;56.5;60.35
2021-03-01;Сибирский федеральный округ;Новосибирская область;Новосибирск;46826;55.0225589660163300000000;82.9401530034061200000000;Новосибирск;55.030199;82.92043
2021-03-01;Южный федеральный округ;Краснодарский край;Краснодар;36099;45.0538431277277350000000;38.9915178590161900000000;Краснодар;45.02;38.59
2021-03-01;Приволжский федеральный округ;Республика Татарстан;Казань;31874;55.7983172327021300000000;49.1514842547042600000000;Казань;55.796289;49.108795
2021-03-01;Уральский федеральный округ;Челябинская область;Челябинск;31731;55.2650175028558100000000;61.2861622718976700000000;Челябинск;55.159897;61.402554
2021-03-01;Сибирский федеральный округ;Омская область;Омск;30797;55.2443439967758600000000;73.1002521441793100000000;Омск;54.989342;73.368212
2021-03-01;Приволжский федеральный округ;Республика Башкортостан;Уфа;30643;54.7508941464255300000000;56.0091723957808500000000;Уфа;54.735147;55.958727
2021-03-01;Приволжский федеральный округ;Самарская область;Самара;29953;53.2123507295489800000000;50.1858000329122400000000;Самара;53.195538;50.101783
2021-03-01;Приволжский федеральный округ;Пермский край;Пермь;29947;58.0055533639853700000000;56.2174317262048800000000;Пермь;58.01045;56.229434
2021-03-01;Сибирский федеральный округ;Красноярский край;Красноярск;29040;56.0216913422886400000000;92.8785431760613600000000;Красноярск;56.010563;92.852572
2021-03-01;Приволжский федеральный округ;Нижегородская область;Нижний Новгород;28063;56.3012218516200000000000;43.9593305661380000000000;Нижний Новгород;56.326797;44.006516
2021-03-01;Центральный федеральный округ;Воронежская область;Воронеж;27433;51.6815564805102000000000;39.1949322424979600000000;Воронеж;51.660781;39.200269
2021-03-01;Южный федеральный округ;Ростовская область;Ростов-на-Дону;26858;47.2422454998196100000000;39.7069256180745100000000;Ростов-на-Дону;47.222078;39.720349
2021-03-01;Уральский федеральный округ;Тюменская область;Тюмень;24939;57.1917316545240000000000;65.5191226894500000000000;Тюмень;57.153033;65.534328
2021-03-01;Сибирский федеральный округ;Иркутская область;Иркутск;22825;52.2774384635219500000000;104.2893463479512200000000;Иркутск;52.287054;104.281047
2021-03-01;Южный федеральный округ;Краснодарский край;Сочи;22174;43.5386426707418200000000;39.8009012417127300000000;Сочи;43.585525;39.723062
2021-03-01;Южный федеральный округ;Волгоградская область;Волгоград;20913;48.7157520581135100000000;44.5132507894486500000000;Волгоград;48.707067;44.516948
2021-03-01;Приволжский федеральный округ;Саратовская область;Саратов;20160;51.5482966062743600000000;46.0029459699820500000000;Саратов;51.533103;46.034158
2021-03-01;Приволжский федеральный округ;Удмуртская Республика;Ижевск;19569;56.8482266363314300000000;53.2317371409628600000000;Ижевск;56.8745655;53.1791195
2021-03-01;Северо-Западный федеральный округ;Калининградская область;Калининград;18505;54.7160505121466700000000;20.4914956131066700000000;Калининград;54.710157;20.510137
2021-03-01;Дальневосточный федеральный округ;Приморский край;Владивосток;17766;43.1235433074483900000000;131.9171968341258100000000;Владивосток;43.115536;131.885485
2021-03-01;Дальневосточный федеральный округ;Хабаровский край;Хабаровск;17569;48.4713936797818200000000;135.0825011027333300000000;Хабаровск;48.480223;135.071917
2021-03-01;Сибирский федеральный округ;Алтайский край;Барнаул;17163;53.3463239212066650000000;83.7305318116900000000000;Барнаул;53.346785;83.776856
2021-03-01;Приволжский федеральный округ;Оренбургская область;Оренбург;16013;51.7933571496833300000000;55.1283107926291700000000;Оренбург;51.768199;55.096955
2021-03-01;Приволжский федеральный округ;Кировская область;Киров;15635;58.5933905224000000000000;49.6481622941214300000000;Киров;58.603591;49.668014
2021-03-01;Сибирский федеральный округ;Томская область;Томск;15599;56.4865170773555600000000;84.9908672119185200000000;Томск;56.436229499999996;85.009911
2021-03-01;Центральный федеральный округ;Ярославская область;Ярославль;14829;57.6253803841800000000000;39.8486641798300000000000;Ярославль;57.626559;39.893804
2021-03-01;Сибирский федеральный округ;Кемеровская область;Кемерово;14228;55.3561317290541700000000;86.1136271664750000000000;Кемерово;55.354727;86.088374
2021-03-01;Центральный федеральный округ;Тульская область;Тула;13938;54.1893737896580600000000;37.6173738057225800000000;Тула;54.193122;37.617348
2021-03-01;Приволжский федеральный округ;Самарская область;Тольятти;13105;53.5244969669862100000000;49.3394849525379300000000;Тольятти;53.5088;49.41918
2021-03-01;Центральный федеральный округ;Рязанская область;Рязань;13040;54.6250213850666700000000;39.7392319727727300000000;Рязань;54.629216;39.736375
2021-03-01;Центральный федеральный округ;Белгородская область;Белгород;12161;50.5947603927555600000000;36.5788977963777800000000;Белгород;50.595414;36.587268
2021-03-01;Приволжский федеральный округ;Ульяновская область;Ульяновск;12090;54.3320013998814800000000;48.4299759906963000000000;Ульяновск;54.314192;48.403123
2021-03-01;Приволжский федеральный округ;Чувашская Республика;Чебоксары;11935;56.1246375134071400000000;47.2523810270500000000000;Чебоксары;56.143529;47.251123
2021-03-01;Уральский федеральный округ;Ханты-Мансийский автономный округ;Сургут;11835;61.2569671043682900000000;73.3971447903439000000000;Сургут;61.254035;73.396221
